seed,objective,index,eigenvalue,above_tolerance,tolerance,dimension
0,L2,109,-0.0011140712845116036,0,6.855499862231469e-11,128
0,L2,110,-0.0014318451285509402,0,6.855499862231469e-11,128
0,L2,111,-0.0023277478814319025,0,6.855499862231469e-11,128
0,L2,112,-0.003077851084242717,0,6.855499862231469e-11,128
0,L2,113,-0.003331938576325707,0,6.855499862231469e-11,128
0,L2,114,-0.003823727720027221,0,6.855499862231469e-11,128
0,L2,115,-0.008850146024597673,0,6.855499862231469e-11,128
0,L2,116,-0.014101803919066007,0,6.855499862231469e-11,128
0,L2,117,-0.015063196877256638,0,6.855499862231469e-11,128
0,L2,118,-0.02517665996460847,0,6.855499862231469e-11,128
0,L2,119,-0.035459050544074354,0,6.855499862231469e-11,128
0,L2,120,-0.04067545031322832,0,6.855499862231469e-11,128
0,L2,121,-0.053841137472623514,0,6.855499862231469e-11,128
0,L2,122,-0.06310328207284235,0,6.855499862231469e-11,128
0,L2,123,-0.0667484755766495,0,6.855499862231469e-11,128
0,L2,124,-0.09345188041788903,0,6.855499862231469e-11,128
0,L2,125,-0.2808535379566651,0,6.855499862231469e-11,128
0,L2,126,-0.39536955922734424,0,6.855499862231469e-11,128
0,L2,127,-0.6855499862231469,0,6.855499862231469e-11,128
0,C1,0,0.18998818200377837,1,5.893527292769887e-11,128
0,C1,1,0.14469131800892004,1,5.893527292769887e-11,128
0,C1,2,0.06609718937001247,1,5.893527292769887e-11,128
0,C1,3,0.05554578919498387,1,5.893527292769887e-11,128
0,C1,4,0.05479967535421466,1,5.893527292769887e-11,128
0,C1,5,0.0360903517894344,1,5.893527292769887e-11,128
0,C1,6,0.03170534367909493,1,5.893527292769887e-11,128
0,C1,7,0.029498776227670713,1,5.893527292769887e-11,128
0,C1,8,0.024817577958437555,1,5.893527292769887e-11,128
0,C1,9,0.02310435375179441,1,5.893527292769887e-11,128
0,C1,10,0.016557109878779362,1,5.893527292769887e-11,128
0,C1,11,0.011907155152822509,1,5.893527292769887e-11,128
0,C1,12,0.010547973899143252,1,5.893527292769887e-11,128
0,C1,13,0.010086524034187748,1,5.893527292769887e-11,128
0,C1,14,0.008471182422416191,1,5.893527292769887e-11,128
0,C1,15,0.006773381827084125,1,5.893527292769887e-11,128
0,C1,16,0.0065226109283075175,1,5.893527292769887e-11,128
