comparison,reference_teacher,arm,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,360,pooled,validation,3,3,True,0.008217423982541142,0.004488405818588943,"{""0"":0.009668801729294962,""1"":0.0031829169684771674,""2"":0.011800553249851298}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,360,pooled,validation,3,3,True,0.0006738417972254052,0.0056518764729377065,"{""0"":0.006731909809568171,""1"":-0.0002531535238312621,""2"":-0.004457230894060693}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,360,pooled,development_evaluation,3,3,True,0.005980236320531092,0.00520979978897076,"{""0"":0.011726458875087609,""1"":0.004649107081504011,""2"":0.0015651430050016568}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,360,pooled,development_evaluation,3,3,True,0.0010319968419202723,0.007102279890007503,"{""0"":0.00698111367241161,""1"":0.0029460360107347316,""2"":-0.006831159157385525}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,360,pooled,validation_person_weighted,3,3,True,0.005544221411129424,0.008991421701513472,"{""0"":0.002501924654481069,""1"":-0.001531373026742111,""2"":0.015662112605649314}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,360,pooled,validation_person_weighted,3,3,True,-0.002056546334145389,0.0013813945537842086,"{""0"":-0.0036235097249870396,""1"":-0.0010147620796079337,""2"":-0.0015313671978411936}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,360,pooled,development_evaluation_person_weighted,3,3,True,0.0044582582638297286,0.00636661792762297,"{""0"":0.01066469108470347,""1"":0.004767367682840584,""2"":-0.002057283976054869}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,360,pooled,development_evaluation_person_weighted,3,3,True,0.0012244564856727091,0.0062995633225694046,"{""0"":0.007062493614490073,""1"":0.002063428064541961,""2"":-0.005452552222013907}"
E_reconstruction_interaction_vs_R,R,D,transfer,same_residence,,primary,validation,3,3,True,0.0001289810577725925,0.001985473460196214,"{""0"":-0.0021191470095986986,""1"":0.0016423329100020423,""2"":0.0008637572729144338}"
E_reconstruction_interaction_vs_S,S,D,transfer,same_residence,,primary,validation,3,3,True,-0.0007698143045932563,0.003998230958344826,"{""0"":-0.003962248920209244,""1"":-0.002061870133978072,""2"":0.003714676140407547}"
E_reconstruction_interaction_vs_R,R,D,transfer,same_residence,,primary,development_evaluation,3,3,True,-0.001516490879665951,0.0032731103576606074,"{""0"":-0.0027409348675618284,""1"":-0.0040008483056270805,""2"":0.0021923105341910554}"
E_reconstruction_interaction_vs_S,S,D,transfer,same_residence,,primary,development_evaluation,3,3,True,0.0021070531089008027,0.006321510125181015,"{""0"":-0.0049592032112668605,""1"":0.007225270060199185,""2"":0.004055092477770084}"
E_reconstruction_interaction_vs_R,R,D,transfer,same_residence,,primary,validation_person_weighted,3,3,True,0.00012206082256316364,0.002069482702225685,"{""0"":-0.0016904825333681206,""1"":0.002376951643194125,""2"":-0.0003202866421365136}"
E_reconstruction_interaction_vs_S,S,D,transfer,same_residence,,primary,validation_person_weighted,3,3,True,-0.001482294444413686,0.004176371121441031,"{""0"":-0.004934433179807074,""1"":-0.0026724091171547726,""2"":0.003159958963720788}"
E_reconstruction_interaction_vs_R,R,D,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,-0.00021306121440436052,0.0022254880741708594,"{""0"":-0.001341648046967292,""1"":-0.0016481466990070914,""2"":0.002350611102761302}"
E_reconstruction_interaction_vs_S,S,D,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,0.0018238489305743195,0.004328139523470585,"{""0"":-0.0031731998043161846,""1"":0.004392513803257947,""2"":0.0042522327927811965}"
